Disease,Model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__subsample
Diabetes,XGBoost,0.05680346488952637,0.0025098267722137332,0.0058075904846191405,0.0004045669334806498,,,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8069767441860465,0.8104651162790697,0.8450581395348837,0.7569767441860464,0.7839285714285714,0.8006810631229235,0.029310072257807292,41,3.0,,200.0,0.1,0.8
Diabetes,XGBoost,0.05139288902282715,0.0014890590931734642,0.005793046951293945,0.000395979610003319,,,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8302325581395349,0.798546511627907,0.8392441860465115,0.7872093023255813,0.78125,0.8072965116279068,0.023260246670570157,31,3.0,,200.0,0.1,1.0
Diabetes,XGBoost,0.08308515548706055,0.002100517387105125,0.006399726867675782,0.0007655774138439135,,,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8023255813953488,0.8063953488372092,0.8450581395348837,0.7395348837209302,0.7791666666666666,0.7944961240310077,0.034684692776295406,50,3.0,,300.0,0.1,0.8
Diabetes,XGBoost,0.07537083625793457,0.0012055516610172297,0.006090927124023438,0.0009841021877628404,,,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.8209302325581395,0.7959302325581395,0.8436046511627907,0.7747093023255813,0.7681547619047618,0.8006658361018826,0.02831086411477296,42,3.0,,300.0,0.1,1.0
Diabetes,XGBoost,0.059767293930053714,0.002076942337607671,0.0063534736633300785,0.001395974334750052,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8398255813953488,0.7886627906976743,0.8468023255813953,0.7837209302325582,0.7973214285714285,0.8112666112956811,0.026617915527030234,29,5.0,,100.0,0.1,0.8
Diabetes,XGBoost,0.05638465881347656,0.0033885544822521204,0.005612039566040039,0.0004837120979374204,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8357558139534884,0.8156976744186046,0.8383720930232558,0.7941860465116279,0.7744047619047619,0.8116832779623477,0.024510145186040264,28,5.0,,100.0,0.1,1.0
Diabetes,XGBoost,0.09359688758850097,0.005677060882766793,0.006187057495117188,0.0004058985835171994,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.825,0.7927325581395348,0.841860465116279,0.7636627906976744,0.7779761904761905,0.8002464008859358,0.029104129087761967,43,5.0,,200.0,0.1,0.8
Diabetes,XGBoost,0.09143695831298829,0.006872344409710145,0.006037139892578125,4.237110700684133e-05,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8188953488372093,0.8034883720930233,0.8369186046511627,0.7718023255813953,0.756547619047619,0.7975304540420819,0.02961388621503498,47,5.0,,200.0,0.1,1.0
Diabetes,XGBoost,0.12699480056762696,0.004229451118239827,0.006208658218383789,0.00043599800537164876,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8244186046511627,0.790406976744186,0.8465116279069768,0.756686046511628,0.7717261904761905,0.7979498892580288,0.0331846891814982,46,5.0,,300.0,0.1,0.8
Diabetes,XGBoost,0.11987700462341308,0.007025202909188322,0.007071304321289063,0.0014699008055953666,,,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.8113372093023256,0.8031976744186047,0.8392441860465116,0.7607558139534885,0.7517857142857143,0.7932641196013288,0.03260897617703241,53,5.0,,300.0,0.1,1.0
Diabetes,XGBoost,0.0796844482421875,0.0061338146310742385,0.006609487533569336,0.0008081264389360843,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8238372093023256,0.7997093023255815,0.8386627906976745,0.7790697674418605,0.7898809523809525,0.806232004429679,0.021951714286540996,33,7.0,,100.0,0.1,0.8
Diabetes,XGBoost,0.08644514083862305,0.004734210013474823,0.007399511337280273,0.001038072646949398,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8255813953488372,0.7997093023255814,0.8369186046511627,0.7851744186046512,0.7675595238095239,0.8029886489479512,0.025475470197917013,38,7.0,,100.0,0.1,1.0
Diabetes,XGBoost,0.12358927726745605,0.007824142003741343,0.006591033935546875,0.0010169944343686936,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8154069767441862,0.795639534883721,0.8401162790697675,0.7636627906976744,0.7767857142857143,0.7983222591362127,0.027243076933067024,45,7.0,,200.0,0.1,0.8
Diabetes,XGBoost,0.12020287513732911,0.0056533906997862,0.006083393096923828,0.00045171044990303407,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8177325581395349,0.797093023255814,0.8328488372093024,0.7645348837209303,0.7651785714285715,0.7954775747508307,0.02745900561833179,49,7.0,,200.0,0.1,1.0
Diabetes,XGBoost,0.15058679580688478,0.004912725829888463,0.0060007572174072266,1.4384368065832478e-06,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8116279069767443,0.7950581395348836,0.8357558139534884,0.7543604651162792,0.7723214285714285,0.7938247508305648,0.028623453272443658,52,7.0,,300.0,0.1,0.8
